feature,importance
mileage,0.8891109570235857
year,0.2046179389874186
vehicle_age,0.09828344797415663
fuel_type_diesel,0.04083883316039425
make_North,0.0334155040969375
age_bin_aging,0.019959827128708706
make_Contact,0.018248706343525278
age_bin_nearly_new,0.015446360464926635
model_Information,0.009800217838081948
model_Haven,0.00941616242980251
make_New,0.007403386364686871
mileage_bin_medium,0.00695397316771249
age_bin_recent,0.006152220698403122
make_Ford,0.005121885221745837
mileage_bin_low,0.0037733609621350417
fuel_type_gas,0.002955384702109376
transmission_Manual,0.002578158081858273
make_Lexus,0.001619559583038399
transmission_Automatic,0.001530446743094438
make_Toyota,0.0009060117221990516
make_Dodge,0.0007257134878187466
make_Chevrolet,0.0006795613890524743
make_Kia,0.0006739122068023185
make_Nissan,0.0006505752970545787
make_Benz,0.0004801212854210313
make_Hyundai,0.0004185961998623422
model_Neon,0.0003282154688580063
model_Camry,0.00030927304368485455
model_Mustang,0.0002973342855996597
age_bin_old,0.00020436325489240348
make_Cadillac,0.00019594986023234727
mileage_bin_high,0.00018237509966385624
model_CR,0.00016889463934653958
make_West,0.00016292235562727076
model_Branford,0.00011350048037199745
model_TLX,0.0001035389819987187
make_Volvo,9.820392779880116e-05
fuel_type_hybrid,8.710087303387404e-05
make_Jeep,7.570358041905089e-05
model_Silverado,6.783607662822489e-05
make_Audi,6.722672210588421e-05
make_Acura,5.895854793528388e-05
model_XV,5.77070397274948e-05
make_Honda,5.485359905069709e-05
make_Volkswagen,5.321267403712859e-05
model_Sedan,4.761944747252445e-05
fuel_type_electric,4.309498012956547e-05
model_Fiesta,1.8967792421153983e-05
make_Subaru,1.2669700772016679e-05
transmission_CVT,1.1956619743891394e-05
make_Chevy,1.0543596683054712e-05
model_Equinox,9.027648726256387e-06
model_Versa,4.30916284661631e-06
model_El,3.2804371492889394e-06
model_EX35,2.848667817489936e-06
make_Infiniti,1.603236613856307e-06
model_Passat,7.821771157767721e-07
model_Elantra,5.925125501460294e-07
model_Hartford,5.357018346363595e-07
model_Pathfinder,4.753128028722742e-07
transmission_DCT,4.616813913282947e-07
model_Sonata,4.503671413025323e-07
model_Prius,2.6183269141721865e-07
model_Civic,1.9816168304043202e-07
make_Checrolet,0.0
make_Maserati,0.0
make_Buy,0.0
make_Aero,0.0
make_Acadia,0.0
make_Jaguar,0.0
make_Hummer,0.0
make_Gran,0.0
make_Chrysler,0.0
make_Golf,0.0
make_Lake,0.0
make_Land,0.0
make_Lincoln,0.0
model_Cherokee,0.0
model_Capri,0.0
model_CX,0.0
model_CTS,0.0
model_CRV,0.0
model_CRZ,0.0
model_Benz,0.0
model_C300,0.0
model_ATS,0.0
model_AWD,0.0
model_Altima,0.0
model_Accord,0.0
model_A5,0.0
make_Totota,0.0
make_Xdrive,0.0
model_A3,0.0
make_Ram,0.0
make_Rambler,0.0
make_Premium,0.0
make_Tesla,0.0
make_Sante,0.0
make_South,0.0
make_Sport,0.0
make_Super,0.0
make_Mercury,0.0
make_Mercedes,0.0
make_Mazda,0.0
make_Mitsubishi,0.0
make_Mini,0.0
make_Old,0.0
make_Pickup,0.0
make_Porsche,0.0
make_East,0.0
make_Fair,0.0
make_Foord,0.0
model_Frontier,0.0
model_Forester,0.0
model_Glastonbury,0.0
model_Grand,0.0
model_GS,0.0
model_GLK350,0.0
model_GLA,0.0
model_Fusion,0.0
model_Crosstrek,0.0
model_Corvette,0.0
model_Country,0.0
model_Chevette,0.0
model_Chevelle,0.0
model_ES350,0.0
model_E350,0.0
model_Duty,0.0
model_Crystal,0.0
model_Element,0.0
model_Eos,0.0
model_Escape,0.0
model_Edge,0.0
model_Express,0.0
model_F150,0.0
model_Fe,0.0
model_Coupe,0.0
model_Conventional,0.0
model_Cooper,0.0
model_Corolla,0.0
model_Classic,0.0
model_Mountaineer,0.0
model_Murano,0.0
model_Model,0.0
model_Montero,0.0
model_Milford,0.0
model_Maxima,0.0
model_Macan,0.0
model_Malibu,0.0
model_MKT,0.0
model_MK,0.0
model_ML350,0.0
model_MKZ,0.0
model_M45X,0.0
model_Liberty,0.0
model_LX,0.0
model_Lawn,0.0
model_Gand,0.0
model_H2,0.0
model_LC,0.0
model_Jetta,0.0
model_JX35,0.0
model_Impala,0.0
model_Highlander,0.0
model_Here,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Ram,0.0
model_ProMaster,0.0
model_Odyssey,0.0
model_Outback,0.0
model_Soul,0.0
model_Sienna,0.0
model_Saybrook,0.0
model_Seltos,0.0
model_SUV,0.0
model_S80,0.0
model_SL500,0.0
model_SLT,0.0
model_S500,0.0
model_S5,0.0
model_Rover,0.0
model_S60,0.0
model_Rogue,0.0
model_Ranger,0.0
model_Rav4,0.0
model_Rio,0.0
model_Q5,0.0
model_Q3,0.0
model_XTS,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Wrangler,0.0
model_Town,0.0
model_Sportwagen,0.0
model_Sprinter,0.0
model_Tahoe,0.0
model_Suburban,0.0
model_Sportage,0.0
model_Tundra,0.0
model_Taurus,0.0
fuel_type_cng,0.0
