feature,importance
mileage,0.756656847010236
year,0.18797046254468242
vehicle_age,0.116288569996981
fuel_type_diesel,0.042920524582468124
make_Ford,0.027286982390953018
make_North,0.01917071323286109
age_bin_nearly_new,0.01040283412691958
make_Contact,0.00706489837352855
age_bin_aging,0.006179609513161011
model_Information,0.005867687193731386
mileage_bin_medium,0.005748713397390593
model_Haven,0.004548437635098157
age_bin_recent,0.004199050520036507
mileage_bin_low,0.003641891871879832
make_New,0.003145343438707049
make_Lexus,0.0023873012772787526
fuel_type_gas,0.0018637278822172143
make_Dodge,0.00136842038872933
model_Neon,0.0012873253523722483
transmission_Automatic,0.0008610637115476383
transmission_Manual,0.0008134420542609044
model_Sedan,0.0007339923496035627
make_Audi,0.0006879423377627147
make_Toyota,0.0004950528288732326
make_Nissan,0.0004634712956577136
mileage_bin_high,0.00029452896378330263
make_Hyundai,0.00023713296606321378
model_Mustang,0.0002067807775133157
model_Camry,0.00018965566024411462
make_Benz,0.00018264416523313675
make_Volkswagen,0.0001786439176700516
make_Cadillac,0.00017500066666671367
make_West,0.00014437630190421434
make_Chevrolet,0.00013334134845474077
age_bin_old,0.00013182455959726003
model_CR,0.00011611933141363329
fuel_type_hybrid,0.0001105994738858751
make_Honda,9.291941508795531e-05
model_XV,5.6526116100830136e-05
model_Equinox,5.302214652467274e-05
model_Silverado,3.1916447542634785e-05
model_TLX,2.4549949855201537e-05
make_Jeep,1.6880954033038355e-05
make_Acura,1.436991270744592e-05
make_Infiniti,1.2416598480968765e-05
model_El,9.184952890772814e-06
model_Versa,8.162857004512248e-06
fuel_type_electric,6.145101346899384e-06
make_Subaru,5.366516085303363e-06
transmission_DCT,2.290765779988657e-06
transmission_CVT,2.0058732858596606e-06
model_Passat,9.053429702143845e-07
model_Pathfinder,8.162110958442881e-07
model_EX35,5.013007880805276e-07
make_Mercury,0.0
make_Mini,0.0
make_Acadia,0.0
make_Chrysler,0.0
make_Hummer,0.0
make_Kia,0.0
make_Jaguar,0.0
make_Gran,0.0
make_Golf,0.0
make_Fair,0.0
make_East,0.0
make_Chevy,0.0
make_Checrolet,0.0
make_Aero,0.0
make_Buy,0.0
model_CTS,0.0
model_CRZ,0.0
model_C300,0.0
model_Branford,0.0
model_Altima,0.0
model_Benz,0.0
model_Accord,0.0
model_AWD,0.0
make_Xdrive,0.0
model_ATS,0.0
model_A5,0.0
model_A3,0.0
make_Volvo,0.0
make_Super,0.0
make_Tesla,0.0
make_Totota,0.0
make_Mitsubishi,0.0
make_Old,0.0
make_Pickup,0.0
make_Sport,0.0
make_Rambler,0.0
make_South,0.0
make_Premium,0.0
make_Ram,0.0
make_Lake,0.0
make_Land,0.0
make_Lincoln,0.0
make_Maserati,0.0
make_Mazda,0.0
make_Mercedes,0.0
model_Corolla,0.0
model_Corvette,0.0
model_GLA,0.0
model_Fusion,0.0
model_Frontier,0.0
model_Forester,0.0
model_Glastonbury,0.0
model_Grand,0.0
model_Gand,0.0
model_GLK350,0.0
model_Hartford,0.0
model_Here,0.0
model_Country,0.0
model_Coupe,0.0
model_Civic,0.0
model_CX,0.0
model_Cherokee,0.0
model_Chevelle,0.0
model_E350,0.0
model_Duty,0.0
model_Crystal,0.0
model_ES350,0.0
model_Edge,0.0
model_Elantra,0.0
model_Element,0.0
model_Eos,0.0
model_Escape,0.0
model_Express,0.0
model_F150,0.0
model_Fiesta,0.0
model_Crosstrek,0.0
model_Classic,0.0
model_Conventional,0.0
model_Cooper,0.0
model_Mountaineer,0.0
model_Murano,0.0
model_Model,0.0
model_Montero,0.0
model_Milford,0.0
model_Maxima,0.0
model_ML350,0.0
model_Malibu,0.0
model_MK,0.0
model_M45X,0.0
model_MKZ,0.0
model_MKT,0.0
model_Liberty,0.0
model_Lawn,0.0
model_LC,0.0
model_LX,0.0
model_GS,0.0
model_H2,0.0
model_Jetta,0.0
model_JX35,0.0
model_Impala,0.0
model_Highlander,0.0
model_Outback,0.0
model_Prius,0.0
model_Q5,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Ram,0.0
model_Orange,0.0
model_Odyssey,0.0
model_Q3,0.0
model_Sienna,0.0
model_Seltos,0.0
model_Saybrook,0.0
model_SLT,0.0
model_SUV,0.0
model_S80,0.0
model_SL500,0.0
model_S5,0.0
model_Rover,0.0
model_S60,0.0
model_S500,0.0
model_Rogue,0.0
model_Rio,0.0
model_Ranger,0.0
model_Rav4,0.0
model_Sportage,0.0
model_ProMaster,0.0
model_XTS,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Wrangler,0.0
model_Town,0.0
model_Soul,0.0
model_Sportwagen,0.0
model_Tahoe,0.0
model_Sprinter,0.0
model_Taurus,0.0
model_Tundra,0.0
fuel_type_cng,0.0
model_Sonata,-3.2742420552622777e-09
