feature,importance
mileage,0.6970825923947876
vehicle_age,0.1748244418547565
year,0.1556200115726012
fuel_type_diesel,0.047755714483000755
make_Ford,0.026937261988996597
make_North,0.019462997152277485
age_bin_nearly_new,0.008507124418048694
mileage_bin_medium,0.006486798969398333
make_Contact,0.0058892162373576085
model_Haven,0.005307495839362464
model_Information,0.004998741647200345
make_Lexus,0.0048702155962577435
age_bin_aging,0.004616460961937119
make_New,0.0032621490724409675
age_bin_recent,0.0023235546885903013
mileage_bin_low,0.002112282233894369
fuel_type_gas,0.0016308164146735082
transmission_Manual,0.0011825741997714024
model_Mustang,0.0009423275128745745
model_Neon,0.0009275636846355018
make_Dodge,0.0007974899437063088
make_Toyota,0.0005181343588794074
model_Sedan,0.00043459299937765873
make_Nissan,0.0003382664625739218
make_Audi,0.0003125619424741544
transmission_Automatic,0.0002852568721745441
make_Benz,0.00027223444900980053
age_bin_old,0.000199395841536254
make_Honda,0.00013962785957206681
make_Hyundai,0.00011039498447730222
make_Cadillac,0.00011029604306672658
make_Chevrolet,9.721210604620722e-05
model_CR,8.039819891859645e-05
mileage_bin_high,7.905236907724822e-05
make_Volkswagen,6.540396323229114e-05
make_West,6.317079516330316e-05
model_TLX,2.6163491600295075e-05
fuel_type_hybrid,2.446691972646242e-05
model_Silverado,1.8521534433435516e-05
model_Versa,1.743452023046377e-05
model_El,1.2303768479493549e-05
model_XV,7.575043028407169e-06
make_Subaru,6.683231366000353e-06
transmission_DCT,6.261449867284163e-06
model_Equinox,6.10587582478006e-06
fuel_type_electric,3.7717768872846947e-06
model_Camry,3.5647817306694306e-06
make_Infiniti,3.5230473125147378e-06
make_Jeep,3.3227830823157057e-06
make_Acura,2.3870201675268987e-06
transmission_CVT,1.4517190590424001e-06
model_Pathfinder,1.0812954578498513e-06
model_Passat,9.84069868537052e-07
model_EX35,8.790787414669765e-08
model_Sonata,1.9795003070033346e-08
make_Mini,0.0
make_Acadia,0.0
make_Chrysler,0.0
make_Hummer,0.0
make_Kia,0.0
make_Jaguar,0.0
make_Gran,0.0
make_Golf,0.0
make_Fair,0.0
make_East,0.0
make_Chevy,0.0
make_Checrolet,0.0
make_Aero,0.0
make_Buy,0.0
model_CTS,0.0
model_CRZ,0.0
model_C300,0.0
model_Branford,0.0
model_Altima,0.0
model_Benz,0.0
model_Accord,0.0
model_AWD,0.0
make_Xdrive,0.0
model_ATS,0.0
model_A5,0.0
model_A3,0.0
make_Volvo,0.0
make_Super,0.0
make_Tesla,0.0
make_Totota,0.0
make_Mitsubishi,0.0
make_Old,0.0
make_Pickup,0.0
make_Sport,0.0
make_Rambler,0.0
make_South,0.0
make_Premium,0.0
make_Ram,0.0
make_Lake,0.0
make_Land,0.0
make_Lincoln,0.0
make_Maserati,0.0
make_Mazda,0.0
make_Mercedes,0.0
make_Mercury,0.0
model_Corolla,0.0
model_GLA,0.0
model_Fusion,0.0
model_Frontier,0.0
model_Forester,0.0
model_Glastonbury,0.0
model_Grand,0.0
model_Gand,0.0
model_GLK350,0.0
model_Hartford,0.0
model_Corvette,0.0
model_Country,0.0
model_Coupe,0.0
model_Civic,0.0
model_CX,0.0
model_Cherokee,0.0
model_Chevelle,0.0
model_E350,0.0
model_Duty,0.0
model_Crystal,0.0
model_ES350,0.0
model_Edge,0.0
model_Elantra,0.0
model_Element,0.0
model_Eos,0.0
model_Escape,0.0
model_Express,0.0
model_F150,0.0
model_Fiesta,0.0
model_Crosstrek,0.0
model_Classic,0.0
model_Conventional,0.0
model_Cooper,0.0
model_Mountaineer,0.0
model_Murano,0.0
model_Model,0.0
model_Montero,0.0
model_Milford,0.0
model_Maxima,0.0
model_ML350,0.0
model_Malibu,0.0
model_MK,0.0
model_M45X,0.0
model_MKZ,0.0
model_MKT,0.0
model_Liberty,0.0
model_Lawn,0.0
model_LC,0.0
model_LX,0.0
model_GS,0.0
model_H2,0.0
model_Jetta,0.0
model_JX35,0.0
model_Impala,0.0
model_Highlander,0.0
model_Here,0.0
model_Outback,0.0
model_Q5,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Prius,0.0
model_Orange,0.0
model_Odyssey,0.0
model_Seltos,0.0
model_Sienna,0.0
model_SUV,0.0
model_Saybrook,0.0
model_SLT,0.0
model_S60,0.0
model_S80,0.0
model_SL500,0.0
model_S5,0.0
model_Rover,0.0
model_Rogue,0.0
model_S500,0.0
model_Rio,0.0
model_Ram,0.0
model_Ranger,0.0
model_Rav4,0.0
model_Q3,0.0
model_ProMaster,0.0
model_XTS,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Wrangler,0.0
model_Town,0.0
model_Sportage,0.0
model_Sportwagen,0.0
model_Tahoe,0.0
model_Sprinter,0.0
model_Soul,0.0
model_Tundra,0.0
model_Taurus,0.0
fuel_type_cng,0.0
