feature,importance
mileage,0.8916801260802936
year,0.13070537536723395
vehicle_age,0.08667519199768123
fuel_type_diesel,0.043473614933185946
make_North,0.026836228073169897
age_bin_aging,0.024144713059499955
make_Ford,0.019685135258199073
model_Haven,0.012301365253954455
make_Contact,0.012002764789103126
make_New,0.007989264858988465
mileage_bin_medium,0.006408246126019446
model_Information,0.005593915735108546
mileage_bin_low,0.004356848283584081
age_bin_nearly_new,0.0038914503735069327
age_bin_recent,0.002294447536360278
transmission_Manual,0.0022841713247805373
age_bin_old,0.0021356556786142344
make_Lexus,0.001974471094772512
fuel_type_gas,0.0013335287644290817
transmission_Automatic,0.0007412596450662723
make_Toyota,0.0006459021476160842
make_Benz,0.0006153774611577956
make_Nissan,0.00041054077221859276
model_Neon,0.00033690062962224985
model_Branford,0.00025002637952411535
fuel_type_electric,0.000239738652120558
make_Dodge,0.00023680350390584693
make_Hyundai,0.00022047171379847575
make_Chevrolet,0.0002018866240463768
model_CR,0.00017058064045174514
model_Fiesta,0.0001552639965995417
mileage_bin_high,0.0001223718628726167
make_Volvo,9.473432519283565e-05
make_Audi,8.749793817167673e-05
make_Cadillac,7.294303429138394e-05
make_West,3.875814102114461e-05
model_Camry,1.672663569389776e-05
model_Equinox,1.5861257157534504e-05
make_Honda,1.4707678558212312e-05
model_Elantra,1.3079263608628544e-05
model_Mustang,1.1778342971857647e-05
make_Acura,1.1009214500201647e-05
make_Subaru,8.839090969936514e-06
model_Passat,6.424079975086983e-06
model_XV,4.383923548434421e-06
model_EX35,2.870595402926224e-06
make_Volkswagen,2.19524690450168e-06
model_Versa,2.153751994427022e-06
model_TLX,2.123239237417085e-06
fuel_type_hybrid,2.119592780358559e-06
transmission_CVT,1.6804595050379234e-06
make_Infiniti,1.4784728390671021e-06
model_Sonata,1.0465718919272504e-07
make_Porsche,0.0
make_Pickup,0.0
make_Old,0.0
make_Mini,0.0
make_Mitsubishi,0.0
make_Acadia,0.0
make_Aero,0.0
make_Buy,0.0
make_Chevy,0.0
make_Checrolet,0.0
make_Jaguar,0.0
make_Hummer,0.0
make_Maserati,0.0
make_Lake,0.0
make_Land,0.0
make_Lincoln,0.0
make_Kia,0.0
make_Jeep,0.0
make_Fair,0.0
make_Gran,0.0
make_Golf,0.0
make_Foord,0.0
make_East,0.0
make_Chrysler,0.0
model_Cherokee,0.0
model_Capri,0.0
model_CX,0.0
model_CTS,0.0
model_CRV,0.0
model_CRZ,0.0
model_Benz,0.0
model_C300,0.0
model_ATS,0.0
model_AWD,0.0
model_Altima,0.0
model_Accord,0.0
model_A5,0.0
make_Totota,0.0
make_Xdrive,0.0
model_A3,0.0
make_Ram,0.0
make_Rambler,0.0
make_Premium,0.0
make_Tesla,0.0
make_Sante,0.0
make_South,0.0
make_Sport,0.0
make_Super,0.0
make_Mercury,0.0
make_Mercedes,0.0
make_Mazda,0.0
model_Corvette,0.0
model_Conventional,0.0
model_Country,0.0
model_Crosstrek,0.0
model_Coupe,0.0
model_GLK350,0.0
model_GLA,0.0
model_Fusion,0.0
model_Frontier,0.0
model_Grand,0.0
model_H2,0.0
model_Glastonbury,0.0
model_GS,0.0
model_Here,0.0
model_Highlander,0.0
model_Impala,0.0
model_JX35,0.0
model_Jetta,0.0
model_Chevelle,0.0
model_Civic,0.0
model_Chevette,0.0
model_ES350,0.0
model_E350,0.0
model_Duty,0.0
model_El,0.0
model_Element,0.0
model_Eos,0.0
model_Escape,0.0
model_Edge,0.0
model_Express,0.0
model_F150,0.0
model_Fe,0.0
model_Forester,0.0
model_Crystal,0.0
model_Cooper,0.0
model_Corolla,0.0
model_Classic,0.0
model_Mountaineer,0.0
model_Murano,0.0
model_Model,0.0
model_Montero,0.0
model_Milford,0.0
model_Maxima,0.0
model_Macan,0.0
model_Malibu,0.0
model_MKT,0.0
model_MK,0.0
model_ML350,0.0
model_MKZ,0.0
model_M45X,0.0
model_Liberty,0.0
model_LX,0.0
model_Lawn,0.0
model_Gand,0.0
model_Hartford,0.0
model_LC,0.0
model_Outback,0.0
model_Prius,0.0
model_ProMaster,0.0
model_Q3,0.0
model_Odyssey,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Ram,0.0
model_Ranger,0.0
model_Rav4,0.0
model_Pathfinder,0.0
model_Soul,0.0
model_Silverado,0.0
model_Sienna,0.0
model_Seltos,0.0
model_Saybrook,0.0
model_Sedan,0.0
model_SUV,0.0
model_SLT,0.0
model_S500,0.0
model_SL500,0.0
model_S80,0.0
model_S60,0.0
model_Rover,0.0
model_S5,0.0
model_Rogue,0.0
model_Rio,0.0
model_Q5,0.0
model_XTS,0.0
model_Wrangler,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Taurus,0.0
model_Town,0.0
model_Sportwagen,0.0
model_Sprinter,0.0
model_Tahoe,0.0
model_Suburban,0.0
model_Sportage,0.0
model_Tundra,0.0
fuel_type_cng,0.0
transmission_DCT,0.0
