feature,importance
mileage,0.8007869006486512
year,0.24950746487585027
vehicle_age,0.07629897717542196
fuel_type_diesel,0.04466568980966442
make_Ford,0.027025734603882877
make_North,0.02548951766444041
age_bin_nearly_new,0.01678871271817044
mileage_bin_medium,0.014414578496478647
model_Information,0.007486667894882448
age_bin_aging,0.006691712912452552
make_Contact,0.00629359029156531
model_Haven,0.0048722940449194676
age_bin_recent,0.004812141260505576
make_New,0.003596740013240196
make_Lexus,0.003543100295052637
fuel_type_gas,0.002934657227483117
transmission_Automatic,0.0015739754314087362
mileage_bin_low,0.0011808185143281635
make_Audi,0.000978220307845279
make_Dodge,0.0009767420940417493
age_bin_old,0.0009738214307060677
model_Neon,0.0007308113626454226
make_Nissan,0.0006542601466451803
transmission_Manual,0.0006504232824676492
make_Toyota,0.0005905180175142521
make_Benz,0.00038945272695645183
mileage_bin_high,0.00028294592515332173
make_Chevrolet,0.00025800638388489005
make_Volkswagen,0.0002278375353531481
model_Sedan,0.00020855085486511937
make_Cadillac,0.0002034396828121121
make_Hyundai,0.00016379917979481018
make_West,0.00015928917521010889
model_Mustang,0.00012959456813065317
make_Honda,0.0001150800835490351
model_XV,8.150617132665072e-05
fuel_type_hybrid,7.671273289612257e-05
model_CR,7.65159560577322e-05
model_El,5.951012484909368e-05
model_Camry,4.2604850258509684e-05
model_Equinox,3.004128175417842e-05
fuel_type_electric,2.144951969709208e-05
make_Jeep,1.731476354064343e-05
model_Silverado,1.0750452446939284e-05
transmission_CVT,9.714746684663656e-06
make_Infiniti,9.63636347932617e-06
model_Passat,8.709513318660989e-06
model_Versa,5.101511391525371e-06
model_EX35,4.3489780898409155e-06
model_TLX,1.7342158857180933e-06
make_Chevy,1.0153490064612746e-06
make_Subaru,4.592106884748759e-07
make_Acura,5.0641797377792844e-08
model_Sonata,1.3472207782694313e-08
make_Mini,0.0
make_Mercedes,0.0
make_Mercury,0.0
make_Acadia,0.0
make_Hummer,0.0
make_Kia,0.0
make_Jaguar,0.0
make_Gran,0.0
make_Golf,0.0
make_Fair,0.0
make_East,0.0
make_Chrysler,0.0
make_Checrolet,0.0
make_Aero,0.0
make_Buy,0.0
model_CTS,0.0
model_CRZ,0.0
model_C300,0.0
model_Branford,0.0
model_Altima,0.0
model_Benz,0.0
model_Accord,0.0
model_AWD,0.0
make_Xdrive,0.0
model_ATS,0.0
model_A5,0.0
model_A3,0.0
make_Volvo,0.0
make_Super,0.0
make_Tesla,0.0
make_Totota,0.0
make_Mitsubishi,0.0
make_Old,0.0
make_Pickup,0.0
make_Sport,0.0
make_Rambler,0.0
make_South,0.0
make_Premium,0.0
make_Ram,0.0
make_Lake,0.0
make_Land,0.0
make_Lincoln,0.0
make_Maserati,0.0
make_Mazda,0.0
model_Corolla,0.0
model_Country,0.0
model_Corvette,0.0
model_GLA,0.0
model_Fusion,0.0
model_Frontier,0.0
model_Forester,0.0
model_Glastonbury,0.0
model_Grand,0.0
model_Gand,0.0
model_GLK350,0.0
model_Hartford,0.0
model_Here,0.0
model_Highlander,0.0
model_Coupe,0.0
model_Civic,0.0
model_CX,0.0
model_Cherokee,0.0
model_Chevelle,0.0
model_E350,0.0
model_Duty,0.0
model_Crystal,0.0
model_ES350,0.0
model_Edge,0.0
model_Elantra,0.0
model_Element,0.0
model_Eos,0.0
model_Escape,0.0
model_Express,0.0
model_F150,0.0
model_Fiesta,0.0
model_Crosstrek,0.0
model_Classic,0.0
model_Conventional,0.0
model_Cooper,0.0
model_Mountaineer,0.0
model_Murano,0.0
model_Model,0.0
model_Montero,0.0
model_Milford,0.0
model_Maxima,0.0
model_ML350,0.0
model_Malibu,0.0
model_MK,0.0
model_M45X,0.0
model_MKZ,0.0
model_MKT,0.0
model_Liberty,0.0
model_Lawn,0.0
model_LC,0.0
model_LX,0.0
model_GS,0.0
model_H2,0.0
model_Jetta,0.0
model_JX35,0.0
model_Impala,0.0
model_Pathfinder,0.0
model_Orange,0.0
model_Odyssey,0.0
model_Q5,0.0
model_QX60,0.0
model_Quattroporte,0.0
model_RDX,0.0
model_RX,0.0
model_Prius,0.0
model_ProMaster,0.0
model_Outback,0.0
model_Seltos,0.0
model_Sienna,0.0
model_SUV,0.0
model_Saybrook,0.0
model_SLT,0.0
model_S60,0.0
model_S80,0.0
model_SL500,0.0
model_S5,0.0
model_Rover,0.0
model_Rogue,0.0
model_S500,0.0
model_Rio,0.0
model_Ram,0.0
model_Ranger,0.0
model_Rav4,0.0
model_Q3,0.0
model_XTS,0.0
model_Wrangler,0.0
model_Venza,0.0
model_Transit,0.0
model_XC60,0.0
model_Taurus,0.0
model_Town,0.0
model_Sportage,0.0
model_Sportwagen,0.0
model_Tahoe,0.0
model_Sprinter,0.0
model_Soul,0.0
model_Tundra,0.0
fuel_type_cng,0.0
transmission_DCT,-1.3034542001300053e-09
